id,provider,name,latitude,longitude,url,imageUrl
11eb4769-4cad-4084-8409-a0e1b85ef74f,SPC,,,,/sklepy/spc/gazetka,""
1270546f-165e-4962-936c-657660928cb8,Meblik,,,,/sklepy/meblik/gazetka,""
12f38ff4-5d8e-4e41-a245-5281e5dddde6,"Trygon Sport",,,,/sklepy/trygon-sport/gazetka,""
130050ea-493a-4ad6-be2d-aea2051c2e3a,Motointegrator,,,,/sklepy/motointegrator/gazetka,""
130b970d-2883-4b2d-b078-4f28120c58b1,Aryton,,,,/sklepy/aryton/gazetka,""
13544eff-aa88-4f3c-bd58-d82103fdf2ee,"Świat Dziecka",,,,/sklepy/swiat-dziecka/gazetka,""
136f4ead-4634-4e6f-8f38-1b4ddb2090db,Spar,,,,/sklepy/spar/gazetka,""
13ed312d-4493-4d12-b073-e7606b45fa6c,2Skin,,,,/sklepy/2skin/gazetka,""
13f318c3-27fe-4535-937a-4535aa41a67e,"Pierre Cardin",,,,/sklepy/pierre-cardin/gazetka,""
14185c35-5d39-4df0-8302-b258d5e2f864,"Villa Italia",,,,/sklepy/villa-italia/gazetka,""
141ae7cf-d269-4a5b-8d17-6003a167a570,Sinsay,,,,/sklepy/sinsay/gazetka,""
14295b4a-d2db-4e76-bb24-da08a8a53f66,Intermarche,,,,/sklepy/intermarche/gazetka,""
149e1cb3-7799-4fbc-bda9-5489484cf880,E-rast,,,,/sklepy/e-rast/gazetka,""
14c3e0ab-70ac-476f-a95d-329a457fa6e3,WentylatorySklep.pl,,,,/sklepy/wentylatoryskleppl/gazetka,""
14dfb7de-c2ae-4bcc-96ee-4a7ff8ebe02a,House,,,,/sklepy/house/gazetka,""
151ff61d-4e17-49f2-ae91-e3a2fd9c6413,Zooplus,,,,/sklepy/zooplus/gazetka,""
15935490-36cf-4c88-8fe8-ca40e92b5e81,"La Vantil",,,,/sklepy/la-vantil/gazetka,""
16645b3f-b3a1-46dd-b82c-649c9c76c8e6,"M&amp;L Delikatesy",,,,/sklepy/m-l-delikatesy/gazetka,""
166e98b4-8d5a-47a8-8abf-0f51bdbf77ca,"Perfect Clean",,,,/sklepy/perfect-clean/gazetka,""
168e3395-457c-43b1-8ef3-7d41ef5372e7,EXTRA,,,,/sklepy/extra/gazetka,""
16a07b09-0b3c-4532-be2b-3b4c649dd4cd,"Paris Optique",,,,/sklepy/paris-optique/gazetka,""
16f05ff3-b18f-4d64-8856-7a385ae379a7,Naturhouse,,,,/sklepy/naturhouse/gazetka,""
170b2ad9-e773-41ee-9076-bc080df59014,Alsen,,,,/sklepy/alsen/gazetka,""
176a6b1d-760a-4f17-b0dd-79d5fce9103b,"Stokrotka Market",,,,/sklepy/stokrotka-market/gazetka,""
1772d8e8-04a4-472c-9125-8a7b721ccd39,YES,,,,/sklepy/yes/gazetka,""
180ccb0f-f4d3-4e4b-9a6c-5a6495ee257d,"Five o&#039;clock",,,,/sklepy/five-o-clock/gazetka,""
181f0a55-d25b-43f2-95aa-71af3ce9d372,BP,,,,/sklepy/bp/gazetka,""
182d898f-672b-488d-9f8c-088336759a0a,"Tradycja &amp; Jakość",,,,/sklepy/tradycja-jakosc/gazetka,""
1889b136-618d-4bc0-9b52-da0acdc9f571,"Centrum Dekoral",,,,/sklepy/centrum-dekoral/gazetka,""
18951903-15ba-465b-abe4-15ac43ca5379,Pah,,,,/sklepy/pah/gazetka,""
18a60f87-1c81-48fe-b85c-a10780b94f93,domodi,,,,/sklepy/domodi/gazetka,""
18aa6a1c-d25b-4bf1-a429-ee6e97497da0,Affglam,,,,/sklepy/affglam/gazetka,""
18b3b4ee-825e-4b0c-ab0b-2381c5abf5fe,"Zagłoba",,,,/sklepy/zagyoba/gazetka,""
191e8d94-56db-488a-892e-468e2ab15a57,"Delikatesy Kocyk",,,,/sklepy/delikatesy-kocyk/gazetka,""
199153af-d920-46a4-841d-41a005c938eb,"Patio Color",,,,/sklepy/patio-color/gazetka,""
19ceafe4-d32b-4f92-83f9-011da9164c45,Duka,,,,/sklepy/duka/gazetka,""
