id,name,productCount,marketId,marketProvider,categoryUrl
896c1877-2fb7-467a-affb-5299bea9dfd5,✒️ Szkoła ✒️,1,a29a43c6-b9ec-4873-b2c4-2861f09dc1c9,Biedronka,https://home.biedronka.pl/promocje-%E2%9C%92%EF%B8%8F-szkola-%E2%9C%92%EF%B8%8F/
f6a0d101-93c7-42fd-9338-3962c923a8b9,LATO W KUCHNI - artykuły aż do -25%,3,a29a43c6-b9ec-4873-b2c4-2861f09dc1c9,Biedronka,https://home.biedronka.pl/%F0%9F%94%A5-promocje-%F0%9F%94%A5-lato-w-kuchni---artykuly-az-do--25%25/
5dcb13df-15cf-4b4d-9ed4-e8d3188b1cf6,Sport i hobby,15,a29a43c6-b9ec-4873-b2c4-2861f09dc1c9,Biedronka,https://home.biedronka.pl/promocje-sport-i-hobby/
5d3a6339-f8ca-40d4-8345-53c48c813b87,Warsztat i auto,48,a29a43c6-b9ec-4873-b2c4-2861f09dc1c9,Biedronka,https://home.biedronka.pl/%F0%9F%94%A5-promocje-%F0%9F%94%A5-warsztat-i-auto/
782dce3f-26d3-4ebd-bdbd-c35319c60ae0,Elektronika,80,a29a43c6-b9ec-4873-b2c4-2861f09dc1c9,Biedronka,https://home.biedronka.pl/%F0%9F%94%A5-promocje-%F0%9F%94%A5-elektronika/
183decf4-6705-4d21-b593-63f987d0a73d,Moda,71,a29a43c6-b9ec-4873-b2c4-2861f09dc1c9,Biedronka,https://home.biedronka.pl/%F0%9F%94%A5-promocje-%F0%9F%94%A5-moda/
5677a7f4-fa1c-43f7-99bd-dcc299dfe90e,Ogr&oacute;d,107,a29a43c6-b9ec-4873-b2c4-2861f09dc1c9,Biedronka,https://home.biedronka.pl/%F0%9F%94%A5-promocje-%F0%9F%94%A5-ogrod/
8e41e6d3-bedc-4d2d-8ffa-310562340d34,Dziecko,95,a29a43c6-b9ec-4873-b2c4-2861f09dc1c9,Biedronka,https://home.biedronka.pl/%F0%9F%94%A5-promocje-%F0%9F%94%A5-dziecko/
97e2571a-b6ff-4838-81ef-1b6f68eb64dc,"Sport, zdrowie i uroda",123,a29a43c6-b9ec-4873-b2c4-2861f09dc1c9,Biedronka,https://home.biedronka.pl/%F0%9F%94%A5-promocje-%F0%9F%94%A5-sport-zdrowie-i-uroda/
c983cfac-e989-4601-a02e-70ce14183065,Meble i akcesoria ogrodowe - WYPRZEDAŻ,134,a29a43c6-b9ec-4873-b2c4-2861f09dc1c9,Biedronka,https://home.biedronka.pl/%F0%9F%94%A5-promocje-%F0%9F%94%A5-meble-i-akcesoria-ogrodowe---wyprzedaz/
